,AI System,Risk
10,"In a joint project, plastikpack GmbH and Fraunhofer evaluated a AI-based methodology for state monitoring, which shows anomalies in the production process. The main focus is on the identification of the sensor signals, e.g. pressure and temperature, which are the strongest indicators for a recognized anomaly, and from which valuable information for preventive maintenance measures is derived. The AI ​​solution relies on a distance-based methodology that evaluates each sensor signal and recognizes deviations from the expected normal state.","[0, 1, 0]"
11,"The aim of the project was to optimize the frequency of the quality check by analyzing the production data. The number of inspections is to be adapted dynamically, based on the type of product and the real-time production data, with the help of machine learning. Schwering & Hasse has collected historical data from more than 100 different products over two years. In the course of the project, the project partners have pre-processed and analyzed the collected data and developed a cost-based machine learning model. This model is able to simulate the hypothetical committee depending on various parameters. This enables the company to evaluate different test cycles and to calculate the optimal frequency.","[0, 1, 0]"
12,"In addition to the visual inspection by employees: Inside, several small cameras are installed directly in the presses to identify and mark the finest cracks in sheet metal parts - automatically, reliably and in a matter of seconds. These evaluate the recorded images with the help of image labeling software. This procedure will soon be replaced by an ML process. In the background of this innovative procedure, software works based on a complex artificial neuronal network. The software detects the finest cracks in the sheet with the highest precision and reliably marks the appropriate area.","[0, 1, 0]"
13,"The Späth e.K. Is one of the oldest companies in Germany and with around eleven employees: a fairly small company inside. Digitization and the introduction of AI are particularly challenging due to high implementation costs and infrastructure requirements. The possibility of drawing far -reaching advantages from the appearance of errors with the help of new technologies is often overlooked. Because especially with SMEs, there is a lack of structured recording of irregularities and solutions developed, which is why errors cannot be systematically eliminated. This can lead to customer records with appropriate costs. In addition, the effort for the cause research and derivation of correction measures increases dramatically due to a lack of documentation.","[0, 1, 0]"
14,"With a focus on the vertical raw mill, the company has commissioned an external consultant to install a AI-enabled system optimizer that uses existing process data, neural networks and other algorithms. It worked. The asset Optimizer was responsible for a further throughput improvement of 9.6%. They started with a number of attempts and then established an autopilot function that enables autonomous operation without human intervention. Together with external expert: Inside, an entire team of the cement company was involved in the development of the AI ​​system, including operators: inside, process engineers: inside and the middle and upper management.","[0, 1, 0]"
15,"Linde uses artificial intelligence to predict the behavior of the system and to develop finely coordinated strategies to reduce energy consumption. The AI ​​system is implemented using Deep Learning in combination with Reinforcement Learning. This means that the parameters of the system and its components are shown in a neural network, which then optimizes itself in accordance with a predefined goal of the algorithm. To do this, define machine learning engineer: inside together with a specialist: inside this goal, the so -called reward function (e.g. reducing energy consumption). The AI ​​system is built up in a system that produces oxygen and nitrogen and supplies to an directly connected customer. Reliability and purity must therefore be stable at all times. Linde was able to refine the settings of individual components, while the system continued to run with stable performance.","[0, 0, 0]"
16,"Porsche works on a project called Sound Detective, in which a AI system was exposed to huge amounts of acoustic data that was generated by a machine through its daily use. Through machine learning, the AI ​​system could quickly recognize which noises arise when all components work properly and whether a component is worn out or defective. This AI system can search for anomalies in the sound and, based solely on the noise input, recognize when the machine could fail and which parts will soon have to be replaced or repaired in order to avoid potential downtimes. This reduces the operating costs.","[0, 1, 0]"
17,"The company realized an inexpensive and autonomous pick-and-place application to develop new customer segments. This process for automation of the firewood palleting is carried out using a 6-axis kinematics machine with a suitable camera technology (sensors) and gripping technique (actuator). Based on available technologies such as artificial intelligence and mechanics, a robot solution was developed into autonomous palletry of logs and tested for use in the company.","[0, 1, 0]"
18,"In order to ensure constant quality in the production of headphones, the company is based on the use of cobots. The employees support these robots: inside the coating of loudspeaker membranes with a dispersion medium.
 Until the use of the cobots, three employees were responsible for this step: inside. They applied the medium by hand with a brush on the membranes. Of course, this led to strong quality fluctuations. Thanks to the use of the cobot, these fluctuations now belong to the past.","[0, 1, 0]"
19,"The company used a platform for virtual assistants to create a virtual planning assistant who creates, communicates, communicates and pursues the shipping plan of the inventory for pickup trucks. The virtual assistant was made available on the company's web channels and as a mobile app. The truck driver can now quickly query the status of the load and the customer supervisors inform the recipient about the time of delivery and the charging tie number.","[0, 1, 0]"
20,"An interactive design is used to solve two practical problems in the production facilities, including improving communication between dashboards and users: inside and the improvement of data. The design examines the interaction between the dashboard and man by the virtual assistant, who also plays a proactive role in the search for missing and incomplete data. The dashboard has a three -layer structure that is made up of a layer of data, a processing layer and a presentation layer. The virtual assistant not only communicates with the user: inside to carry out the given tasks, but can also actively contact the relevant employees: inside to ensure the completeness of the data. A dashboard is implemented in a demonstration room and a language-based virtual assistant is integrated into the smartphone app. Through this proposed approach, users can interact with the dashboard and carry out detailed search orders with the support of the virtual assistant.","[0, 1, 0]"
23,"In a recent cooperation and using the generative design technology, GM engineers have developed a new, function-optimized seat bracket inside. A standard car, the seat belt fastenings attached to seats and the seats attached to the floor. While the typical seat bracket is a box -shaped element that consists of eight -welded parts, the software has developed more than 150 alternative designs that look more like a metallic object from space. The design chosen by GM consists of a single stainless steel piece, instead of eight, and is 40 percent lighter and 20 percent stronger than the previous seat bracket.","[1, 0, 0]"
24,"A Munich company solves Dana's problem by converting data from external and internal sources with AI into real -time information. First, double information is removed with the help of Natural Language Processing. Next, the RiskMethods, which is based on machine learning, analyzes the data points and filters out the most relevant information for the DANA supply chain. In a last step, the identified relevant events or information are checked and enriched with specific details. In the case of Dana, the Risk methods' ANSENT successfully warned of an earthquake in Mexico and currency fluctuations in Turkey and provided the company an overview of the suppliers concerned: inside.","[1, 0, 0]"
25,"The Market and Suppliertigence solution from Scoutbee offers insights into new markets and increases the transparency and information quality with their core products. You can call: Inside a large selection of potential suppliers: provide inside, curate targeted lists and develop a AI-based supplier confidence. Based on this score and the supplier profiles of Scoutbee, companies can qualify and evaluate potential suppliers:","[0, 1, 0]"
26,"The organizations decided to develop a AI-based assistant. The chatbot offers its end user: advice around the clock and gives immediate and precise answers to your questions and inquiries: The chat bot was safely provided. This means that its core is isolated from the external network so that the chatbot is ready for use. At the same time, the chat bot also supports the provision in the cloud.
 A modern NLP platform and an advanced semantic understanding of analysis simplify the process of creating content. Since each user can formulate a question differently, support employees have to: Inside, usually train their chatbots and ask dozens of different questions (or several thousand questions for only a hundred answers, which requires an enormous amount of effort and time ). Otherwise, the chat bot would not be as intelligent as it should be. However, a AI-based chatbot only needs one question per answer to show an even better answer accuracy. The chat bot is ready for use immediately after uploading a document with questions and answers in the corresponding format. All questions asked for a chatbot are visible to support employees: inside who can take over the chat bot immediately or at the request of end users: inside. A continuous training process is also important. After completing the dialogue with end user: Inside, the support employee is asked to edit his/her own answers immediately and upload it to the corresponding article in the chatbot database. While this process is very effective, simple and quick, it enables the chat bot to get continuous updates with always relevant current answers.","[0, 1, 0]"
27,"As a new planning system, Tillamook chose the solution from a AI provider. Your digital supply chain platform is based on ML-based algorithms that continuously monitor, analyze and update supply chains-related parameters in real time to enable more precise forecasts and planning. ML algorithms for forecasting purposes automatically recognize patterns, search for connections in the available data sets and identify signals that indicate changes in demand.","[0, 1, 0]"
28,"First, an exploratory statistical analysis of the collected data is carried out. Secondly, the rules that would be used for the analysis are assessed and it is determined which information is required by customers (orders, prices, etc.) and which software should be implemented in order to present the problems of the customer: inside. This example focused in particular on data elements such as shipping/flow deviations, orders per day, uniform deviation (product-specific), seasonal dependency of metrics and more.
 The final decision was to move all data to a cloud-based system that the customer can easily access. A dashboard was chosen as the preferred provision method. This dashboard of the new AI tool contained the top 10/50/100 etc. Anomalies that occur per day/week/month. This was achieved by looking at the individual camps and comparing the current activity with the historical distribution. In addition to the rules specified by Kund: inside, additional rules were used to find anomalies in real time. Another feature of the dashboard was the option of capturing feedback (based on a monitored learning model) and determining which data is considered ""good"" and ""bad"". This can ensure a continuous learning process.","[0, 1, 0]"
29,"Here used an external AI tool that was trained on one of the largest annotated contract archives in the world. The Discoverai app can identify and extract contractual metadata, attributes and clauses on a large scale and has helped companies release the value of millions of historical contracts. With the help of AI, contracts can be converted into analyzable digital assets by unstructured text blocks in about 75% less time than would be possible in manual processes. Here carried out 70,000 old contracts via an AI pipeline with OCR technology (Optical Character Recognition), so that contract data that are contained in text, images, table data and PDFs with low resolution could be processed by the system.","[0, 1, 0]"
30,"A new generation of tools combines human specialist knowledge with an algorithm of artificial intelligence (AI) in order to radically improve the process of supplier identification and to scan millions of suppliers: in a fraction of the time.
 A category expert describes the desired product, service or manufacturing capacity together with all restrictions, such as B. the location - all in plain text. Frequently updated source data for millions of suppliers: Interior comes from a variety of unfree, publicly accessible and commercial databases, some of which are global and some regionally specific. The category specialist then trains a natural-length processing (NLP) algorithm in order to comb through the supplier descriptions in the combined data record.
 Within a few iterations, the NLP algorithm borders the list on a few suppliers: inside that correspond to the criteria of the sourcing professional. This iterative approach enables search tools to work with unprecedented speed and precision and in just a few hours to find a selection list of possible suppliers: inside from a million database.","[0, 1, 0]"
31,"While various aspects of the AI ​​have the potential to solve or reduce the challenge of the expenditure of expenditure, most software solutions today contain a form of monitored machine learning. Algorithms for machine learning can automatically classify new output data in procurement staxonomies. Alternatively, it can also provide suggestions for category expert: inside via a classification tool. In addition, the AI ​​classifier based on machine learning can specify a confidence level for each classification proposal. For example, low trust is closer to zero, while a larger number represents higher trust. Machine learning can also go beyond the new classification of expenditure and recognize mistakes that were made in the case of previous regular classifications by human category expert: inside. For continuous training, human category experts can check or validate AI-classified data and deliver valuable training input for future classifications.","[0, 1, 0]"
32,"In April 2016, KLM teamed up with a startup to integrate AI into the social media activities of KLM. The integrated AI platform uses historical data from several years, such as routing, metadata history and chatlogs. The result is the Service Chatbot from KLM called BlueBot (BB), with which customers can book a ticket in the messenger using artificial intelligence. BB can automate customer inquiries in different ways: it classifies customer inquiries and assigns them automatically, suggests answers that can be sent or edited immediately, and offers self-service for simple tasks such as filling out forms and ordering on board . If the chat bot can not help: he refers it to human service college: inside.","[0, 1, 0]"
33,"With AI, Swisscom has better coordinated customer calls with the most powerful agent: inside for different types of interactions. And by changing between traditional and forward -looking routing, the company was able to measure the effect exactly. The average processing time was reduced by 3%. In addition, the company uses intelligent call forwarding in order not only to reduce the average processing time, but also to ensure that customers are connected directly to agent: inside with the correct knowledge and skills. There were no negative effects on other KPIs, such as the speed of answering and the number of broken calls.","[0, 1, 0]"
34,"The language check takes place throughout the conversation ""Live"" and protects against changes in circumstances - or people - on the other side of the management. Another important point is that the user does not have to pass on personal or confidential data on authentication in language biometry. The voice test is everything that matters. Voice biometry includes both physical features such as the form of the vocal tract, which is responsible for the articulation and control of language production, as well as behavioral features such as pitch, cadence and tone, etc. Digitize vocal biometric solutions by reducing them to segments with coded frequencies or formants And create a sample ""voice print"" unique for a person. This voice print is used to identify and authentication of the spokeswoman.","[1, 0, 0]"
35,"Revolut has worked with a AI solution provider to develop an onboarding workflow that guarantees the safety of personal interaction within his app. The resulting combined ID and facial testing is for customers: seamlessly inside and revolts enables a higher level of certainty about the identity of its users: inside. A biometric facial recognition system identifies and verifies a person by extracting and comparing selected facial features from a digital image or a video frame with a facial database. An algorithm can, for example, analyze the eye distance, the width of the nose, the depth of the eye socket, the shape of the cheekbones, the length of the jaw line, etc. and coded the corresponding data as ""facial printing"", which can then be used in order to make suitable matches in one To find target database.","[1, 0, 0]"
36,"Since the information generated by an organization is usually available in an unstructured format, access to this information requires robust technology that can process the documents with minimal human intervention. The OCR document scanners used by the organization are not fully reliable and require 100% manual effort to interpret the text read by OCR. IDR technology (Intelligent Data Recognition) uses artificial intelligence to collect the data from the documents and to rationalize it through the extraction process. It is the only tool to extract information from any kind of document and help to optimize business processes.","[0, 1, 0]"
38,"By using Machine Learning, IDSS learns from previous cases and improves over time, which provides a more efficient decision -making mechanism that is constantly evolving. IDSS enables human agent: inside, concentrating more on your soft skills and the quality of the interaction and less on scripts and manuals. For example, take one of the more complex topics processed in contact centers - technical support. Complicated scripts are used to identify and remedy problems and make it known to the solution. The process requires possession of large data records, which are difficult to remember even for the best -trained human agent: inside.
 The implementation of tools for decision support helps the Call Center agent: inside by having the correct information directly at hand. This enables more intelligent to work and to perform better services for operational KPIs such as First Call Resolution (FCR = finding a solution in first contact) and Average Handling Time (AHT = average service period). It improves the ability to successfully solve customer problems and thus increase both customer and agent satisfaction.","[0, 1, 0]"
39,"With the help of an external provider, EE was able to provide Ki-capable visual support. While the customer now carries out an error correction online, a chat session begins with the supplier. The chatbot leads the conversation to a visual support session and the customer is connected to a remote product expert who can see the problem of the customer's mobile device. The expert uses augmented reality to guide the customer step by step by the correct configuration of his/her device.","[0, 1, 0]"
40,"Airbus has teamed up with an external provider to combine the entire structured and unstructured knowledge of the team in a modern and intuitive search solution with over 7 million documents and 150 million business objects. The final solution is known to the team as FOIS (Flight Ops Intelligent Search) and offers intuitive opportunities for navigation through the data, for example to find all documents for a specific aircraft or a specific airline. It uses Natural Language Processing (NLP) to extract the data and connect them to a knowledge graph so that users: Inside, find results and associated information easily and can navigate through them without having to switch between systems. The team can now quickly find the information required from a number of sources.","[0, 1, 0]"
41,"Magento has teamed up with an external provider to enable his customer: inside an intelligent search on her website. On the support center page of your website, visitors are shown: parts of the search results that correspond to your request. Through highlighting and snipping, Magento shows the searchers why a certain result is delayed and makes it easier for his announcement: inside the search for the right solution.","[1, 0, 0]"
42,"To get further insights, the museum has decided to go one step further and use AI for sentiment analysis. The data comes from Tripadvisor itself. The British Museum turned to it and explained its project and the positive effects that Tripadvisor's reviews had had on the museum. After some back and forth, Tripadvisor agreed to the museum for two years with the full assessment text, the titles, the date, the language in which they were written, and to provide the group's group type. By using natural language processing to automatically mark the ratings, the museum quickly had a huge usable data record for use. The British Museum immediately recognized which topics had the greatest influence on satisfaction. In addition, it can be used to recognize which topics are most likely to be connected. With the sentimental analysis, the museum was able to act more pragmates by pursuing the root of a problem instead.","[0, 1, 0]"
43,"To this end, Maggi developed a chat bot called Kim (""Kitchen Intelligence by Maggi""), with which customers can interact on Facebook Messenger or WhatsApp. Customer: Based on ingredients you have at home, nutritional preferences and restrictions, level of difficulty and preparation time can indicate what you are looking for. Kim then sorts out recommendations from 2500 different recipes. In addition, Kim can answer questions about cooking and explain, for example, how to best peel an pineapple. KIM uses NLP and machine learning to understand logical structures of a conversation, search for queries and to automate over time. Kim learns and stores the preferences of the users: inside and thus becomes more intelligent and helpful from dialogue to dialogue.","[0, 1, 0]"
44,"The DT launched this AI initiative in mid-2015 as an innovation project called Eliza. The team focused on agile development with fast and continuous user feedback. It was decided to pilot in Austria and then carry out a wider rollout. The team's vision was to create an intelligent digital assistant - not a chat bot, the user: frustrated on the inside, but a virtual friend/assistant who helps you: inside through a human -like dialogue. It would have potential that goes far beyond customer service, because as soon as you start to get a customer: integrating inside service problems, there are also opportunities for up-selling, cross-selling, etc. The assistant had to 'right around the corner' Being- that is, he had to be everywhere, on every device, over every channel (text and language-capable), and it should be known to customers: Listen and learn from them and thus improve the way he answers.","[0, 1, 0]"
45,"The financial institution teamed up with an external provider in 2017 to provide language biometry for authentication in its contact center. After a more smooth experience, stronger personalization and a faster solution for live calls from Agent: Inside, the asset management company wanted to be even more innovative and further expand its competitive advantage. This was done by authentication of callers: inside in your Interactive Voice Response System (IVR), even before you reach an agent/agent. Their existing language biometriess solution has been expanded to include the IVR and the system was coordinated so that it authentifies callers: on the inside using minimal expressions of language.","[1, 0, 0]"
48,"With the solution of an external provider, the e-commerce business used a AI-based cause analysis to find interesting relationships and causes that helped them to recognize a deeper problem under the surface. When displaying the support tickets, in connection with customer complaints about late deliveries, these tickets were closely linked to delivery partners. If customers: Inside complained about late deliveries, they also called shipping partners: inside. These findings can be used to identify a shipping partner who has been associated with disproportionately number of complaints, and corresponding measures can be taken.","[0, 1, 0]"
52,"For this reason, Deloitte Tax-I developed. Tax-I is able to use artificial intelligence to analyze thousands of tax cases of the European Court of Justice, to relate them to similar cases, to summarize them and even predict how a court would decide in a certain case. In two six-week sprints, the Tax-I team examined what would be accessible, and it soon turned out that the possibilities were numerous. First visualizes the tool, as a new case corresponds to previous cases. An interactive line diagram shows how the cases are related to each other, and the size of a point indicates the relevance of the case based on the number of references. The tool also creates a summary of all cases based on how often sentences or parts of it occur in a judgment. Finally, Tax-I is able to predict how the European Court of Justice will probably decide in one case based on facts that the tool user can enter. It uses a machine learning algorithm that is trained to identify patterns in tax cases and draw conclusions. All 1153 tax matters of the EU Court of Justice are now recorded in Tax-I.","[0, 1, 0]"
53,"This time can be drastically reduced using machine learning technologies. In order to support companies such as this, a consulting company has developed a user -friendly application that can be used by analyst: inside to check contracts. The application has a bot that can be fed with a series of contracts, and the bot gives the analysts' suggestions for data required, e.g. B. the start date of a contract. The analyst sees the highlighted proposal and indicates whether it is correct or not. The bot learns what leads to the fact that subsequent contracts are analyzed a bit smarter every time and the reliability of its predictions increases.","[0, 1, 0]"
54,"Shibolet has teamed up with an external provider to develop a website called ""JumpStart"" that enables start-ups and aspiring companies to create tailor-made self-service contracts free of charge with the help of a user-friendly cloud-based AI technology. Here, founders can create basic legal documents such as start -up agreements, confidentiality agreements and service agreements.
 The website uses a number of questions that would also be provided by an attorney: in a personal conversation in order to create contracts with high measure accuracy, which can then be downloaded by users: inside. All documents are in English, as is common in the high-tech world, but specifically for Israeli law. The website also offers a section ""Law"", which enables users: to access all types of information about problems, the entrepreneurs: worry inside at the beginning of their trip, as well as a glossary with terms that are used in the technology industry - how Burn Rate, dilution, multi -allocation -, with an explanation in Hebrew and English.","[1, 0, 0]"
55,"Mia Contract Lawyers used AI-controlled contract acceleration software, with which you can now quickly extract important information. This not only means basic information on execution and process data or deadlines for extension notices, but also any information on any rights and obligations. The application indicates the respective stakeholder in relevant information and thus enables a more flexible and efficient way of working that are present: freed from manual examination inside and enables you to record more detailed information in contract negotiations and contract designs.","[1, 0, 0]"
56,"With fewer than twenty employees: inside and without an army of junior: inside that would have to do lengthy small work, the company turned to an external software provider in order to increase its growth, his research in early stage and its competitiveness towards its larger competitor: inside . The integrated software uses AI skills to predict the result of a certain legal scenario. These predictions based on historical decisions in the relevant case law help the law firm to determine the strength of the position of a customer and a benchmark in order to assess the necessary effort in the case. It also offers instructions for the determination of customer expectations in relation to time, costs and possible results.","[0, 1, 0]"
57,"By using an external solution, Plug Power was able to use services such as the contract archive, analyzes and contract life cycle management in order to keep an eye on the supplier contracts, compliance with legal regulations and the risks of third parties. This enabled them to search and call up critical contracts efficiently, whereby great importance was placed on traceability and visibility. In addition, the warning and notification functions provided support plug power to keep an eye on the process and due dates so that they are never surprised.","[0, 1, 0]"
58,"Nowadays, many lawns use: Inside intelligent right-wing research tools that offer an automatic search for quotes, checks of quotations and case recommendations. You can simply upload a briefing or memorandum in which the key points of the current case are listed, and the AI ​​solution analyzes it and creates a list of cases that are relevant for the topics dealt with in the document. Active: Inside, all cases cited can then download from a document, which saves them further.
 In addition, such solutions enable their users: Inside, legal cases according to names or citation with custom search filters to search and offer notes, document markings and case notice that optimize the overall organization of the collected documents.","[0, 1, 0]"
59,"Through the partnership with an external software provider, HP was able to rationalize his administration of intellectual property. Now you can access an enormous amount of detailed patent information for companies around the world, including Samsung, your own company and competitors: inside, because the software directly with the entire catalog of public data that the US patent and brand office provides , can be connected. The application offers a hierarchical matrix with several parameters that enables complex searches and created numerous queries with cross -references that can be carried out at the same time. This limits the patents with regard to their interest and their relative importance for HP. HP not only had to know whether Samsung had many patents, but also whether there were patents that were important to them. This type of depth search would normally take a lot of time. HP was now able to carry out the search more thoroughly and more efficiently than would have been possible without the software. In addition, you can now analyze patent trends that can help the company decide which technologies are good investment decisions and which it should avoid.","[0, 1, 0]"
60,"The investigative functions of an external e-discovery platform enabled the CRC team to discover mountains of evidence by quickly searching these files. They used a special story building function to pursue the most critical documents from three defendants, work together virtually and successfully prepare for statements. By optimizing the e-discovery process from uploading and processing data to search, review and production, you were able to find meaningful information, bring hidden knowledge to light and react to important evidence. So you were able to add 95 exhibits to your briefing application for a summary judgment. Since then, the team has used this AI solution in eight cases in seven states to search files, identify potential stuff: to identify and produce their unique stories.","[0, 1, 0]"
61,"Ocado used an AI solution of an external provider to obtain transparency by capturing and tracking all relevant workflows, regardless of the business region, the area of ​​activity or invoice format (PDF, ledes, scanned). Her teams were able to concentrate on strategic tasks, while the software quickly showed problems and only presented the findings that were really worth their attention. By translating descriptive text into structured data, the AI ​​revealed completely new insights that had previously been included in individual posts. In the end, this provided additional information to have discussions and make decisions in every phase of the life cycle of a case.","[0, 1, 0]"
62,"In this context, a competition was created via a chatbot to playfully customers: to lure the inside of the pizzeria. For this purpose, a GIF was developed in the form of a wheel of fortune, behind which the probabilities of winning were inevitable.
 The raffle was advertised with a post on Facebook, but the actual raffle with the wheel of fortune took place on Facebook Messenger. This is possible with the ""Comment-to-Messenger"" function of Facebook. Every user who comments on the contribution is automatically contacted via Facebook Messenger and must first confirm his participation.","[0, 1, 0]"
63,"The competition was carried out exclusively via a chat bot that was used on the Facebook Messenger. First, the chatbot informed the users: inside the rules and conditions of participation of the schnitzel hunt. Then a question was asked every day about the new X-Class, which the participants had to answer: inside the Facebook Messenger Chatbot. Both pictures as well as video and audio were used, which increased the possibilities of brand structure in the chat bot competition. If the answer was wrong, you got another chance. If the answer was correct, you received a further code. The scavenger hunt was played for a whole week.","[0, 1, 0]"
64,"Intel uses a tool that has developed its IT-Advanced Analytics team internally to search millions of public corporate sites and to extract the consequential segmentation for current and potential customers. The system focuses on two main classification aspects. The first is the industrial segment, ranging from broad industries such as ""healthcare"" to more specific areas such as ""video analysis"". The second are functional roles such as ""manufacturer"" or ""dealer"", which further distinguish potential sales and marketing opportunities.","[0, 1, 0]"
65,"DMK trusted an external provider to establish a AI-based trend scouting tool. Since then, the company has been using AI to collect trend information and quickly recognize new food trends. The trends can be evaluated using AI to influence investment decisions and to meet the future expectations of its customers: inside.","[0, 1, 0]"
